Database Name: Student Records
Authors: P1-08

Table Name: StudentRecords-500
ID	Name	Programme	Mark
2500001	Amirah Binte Rahman	Digital Supply Chain	89.36
2500002	Hui Min	CS	40.57
2500003	Zi Hao	Digital Supply Chain	77.93
2500004	Darren Tan	CS	67.76
2500005	Darren Tan	Digital Supply Chain	80.82
2500006	Xin Rui	Computer Science	87.72
2500007	Darren Tan	CS	68.69
2500008	Clara Lim	Computer Science	12.44
2500009	Xiao Ling	Digital Supply Chain	47.04
2500010	Nicole Chua	CS	8.62
2500011	Harith Zulkifli	Software Engineering	4.18
2500012	Alicia Tan	Digital Supply Chain	88.09
2500013	Marcus Yeo	Digital Supply Chain	91.51
2500014	Evelyn Soh	Digital Supply Chain	38.10
2500015	Darren Tan	Computer Science	83.38
2500016	Geraldine Ng	Software Engineering	85.59
2500017	Daniel Ong	CS	30.95
2500018	Amirah Binte Rahman	CS	60.53
2500019	Nurul Aisyah	CS	61.44
2500020	Marcus Yeo	Computer Science	4.00
2500021	Nicole Chua	Computer Science	51.60
2500022	Xin Rui	Software Engineering	96.62
2500023	Harith Zulkifli	Computer Science	91.43
2500024	Harith Zulkifli	CS	76.81
2500025	Zhi Yuan	Software Engineering	80.77
2500026	Syafiq Hassan	Computer Science	97.64
2500027	Megan Toh	CS	95.86
2500028	Shaun Lee	CS	93.29
2500029	Rachel Goh	Software Engineering	1.45
2500030	Sarah Lim	Digital Supply Chain	43.49
2500031	Xin Rui	CS	15.18
2500032	Felix Tan	Computer Science	27.90
2500033	Felix Tan	CS	30.73
2500034	Wei Ning	Computer Science	38.44
2500035	Syafiq Hassan	CS	66.36
2500036	Alicia Tan	Software Engineering	70.71
2500037	Chee Seng	CS	93.42
2500038	Megan Toh	Computer Science	88.89
2500039	Darren Tan	Software Engineering	85.25
2500040	Nicole Chua	CS	4.38
2500041	Rachel Goh	CS	88.94
2500042	Clara Lim	Computer Science	91.34
2500043	Xiao Ling	Software Engineering	45.60
2500044	Megan Toh	Computer Science	82.78
2500045	Felix Tan	Digital Supply Chain	82.30
2500046	Harith Zulkifli	Computer Science	97.24
2500047	Harith Zulkifli	Digital Supply Chain	97.96
2500048	Evelyn Soh	Computer Science	79.28
2500049	Xiao Ling	Software Engineering	12.80
2500050	Syafiq Hassan	Software Engineering	61.03
2500051	Xin Rui	Digital Supply Chain	96.96
2500052	Hui Min	CS	74.79
2500053	Wei Ning	Digital Supply Chain	35.09
2500054	Megan Toh	Computer Science	69.76
2500055	Nicole Chua	Software Engineering	29.31
2500056	Hui Min	Digital Supply Chain	64.98
2500057	Daniel Ong	CS	64.59
2500058	Syafiq Hassan	CS	70.96
2500059	Felix Tan	Software Engineering	23.32
2500060	Nurul Aisyah	Computer Science	63.57
2500061	Syafiq Hassan	Software Engineering	95.73
2500062	Marcus Yeo	Computer Science	18.94
2500063	Terence Goh	Software Engineering	93.28
2500064	Xin Rui	Software Engineering	32.56
2500065	Zi Hao	Software Engineering	59.74
2500066	Benjamin Koh	Software Engineering	17.36
2500067	Darren Tan	CS	14.50
2500068	Alicia Tan	Computer Science	13.55
2500069	Sarah Lim	CS	51.46
2500070	Shaun Lee	Computer Science	80.73
2500071	Felix Tan	CS	60.64
2500072	Rachel Goh	Digital Supply Chain	25.27
2500073	Jia Wei	Digital Supply Chain	72.12
2500074	Joshua Chen	Computer Science	70.11
2500075	Joshua Chen	CS	5.46
2500076	Benjamin Koh	CS	89.19
2500077	Marcus Yeo	Computer Science	61.89
2500078	Hui Min	Computer Science	72.97
2500079	Xin Rui	Software Engineering	41.04
2500080	Darren Tan	Digital Supply Chain	39.02
2500081	Megan Toh	Computer Science	7.29
2500082	Geraldine Ng	Digital Supply Chain	66.85
2500083	Nicole Chua	CS	85.94
2500084	Yi Xuan	CS	85.23
2500085	Hui Min	Computer Science	89.97
2500086	Syafiq Hassan	Computer Science	14.77
2500087	Megan Toh	Software Engineering	97.12
2500088	Jia Wei	Digital Supply Chain	83.39
2500089	Alicia Tan	Software Engineering	69.50
2500090	Megan Toh	Digital Supply Chain	48.91
2500091	Yi Xuan	Computer Science	43.68
2500092	Marcus Yeo	CS	80.88
2500093	Clara Lim	Computer Science	19.96
2500094	Zi Hao	Digital Supply Chain	74.97
2500095	Clara Lim	CS	55.66
2500096	Benjamin Koh	Computer Science	91.46
2500097	Darren Tan	CS	52.78
2500098	Nurul Aisyah	Computer Science	11.61
2500099	Darren Tan	Digital Supply Chain	9.08
2500100	Sarah Lim	Digital Supply Chain	71.75
2500101	Chee Seng	Software Engineering	96.68
2500102	Evelyn Soh	Computer Science	87.34
2500103	Sarah Lim	CS	98.15
2500104	Sarah Lim	Software Engineering	30.23
2500105	Amirah Binte Rahman	CS	95.12
2500106	Jia Wei	Software Engineering	73.40
2500107	Joshua Chen	Software Engineering	46.10
2500108	Jia Wei	Computer Science	2.50
2500109	Xin Rui	CS	6.79
2500110	Xin Rui	Software Engineering	17.11
2500111	Nicole Chua	Computer Science	23.73
2500112	Harith Zulkifli	Computer Science	30.08
2500113	Evelyn Soh	Computer Science	53.86
2500114	Amirah Binte Rahman	Software Engineering	16.03
2500115	Jia Wei	Digital Supply Chain	36.76
2500116	Sarah Lim	Software Engineering	61.74
2500117	Nicole Chua	Software Engineering	12.05
2500118	Terence Goh	Digital Supply Chain	26.64
2500119	Rachel Goh	CS	28.07
2500120	Benjamin Koh	Digital Supply Chain	3.22
2500121	Jia Wei	CS	18.34
2500122	Xiao Ling	CS	49.67
2500123	Jia Wei	CS	7.48
2500124	Wei Ning	Software Engineering	80.34
2500125	Marcus Yeo	Software Engineering	13.27
2500126	Wei Ning	Software Engineering	78.25
2500127	Marcus Yeo	Software Engineering	11.25
2500128	Harith Zulkifli	CS	97.52
2500129	Clara Lim	Computer Science	15.09
2500130	Amirah Binte Rahman	Digital Supply Chain	38.63
2500131	Felix Tan	Digital Supply Chain	69.24
2500132	Clara Lim	CS	15.80
2500133	Sarah Lim	CS	32.80
2500134	Megan Toh	Software Engineering	40.88
2500135	Jia Wei	Digital Supply Chain	93.73
2500136	Yi Xuan	Digital Supply Chain	33.15
2500137	Joshua Chen	Software Engineering	93.05
2500138	Daniel Ong	Computer Science	70.93
2500139	Felix Tan	Digital Supply Chain	97.76
2500140	Harith Zulkifli	Software Engineering	88.07
2500141	Hui Min	Software Engineering	14.86
2500142	Marcus Yeo	CS	51.95
2500143	Darren Tan	Computer Science	21.10
2500144	Yi Xuan	Computer Science	42.93
2500145	Zhi Yuan	Computer Science	96.97
2500146	Isaac Teo	CS	36.80
2500147	Amirah Binte Rahman	Software Engineering	17.26
2500148	Xiao Ling	Software Engineering	21.95
2500149	Felix Tan	Computer Science	23.06
2500150	Joshua Chen	Digital Supply Chain	53.89
2500151	Felix Tan	CS	19.28
2500152	Benjamin Koh	Computer Science	87.82
2500153	Hui Min	Digital Supply Chain	37.40
2500154	Xin Rui	CS	28.11
2500155	Felix Tan	CS	34.62
2500156	Joshua Chen	Computer Science	93.47
2500157	Nurul Aisyah	Computer Science	18.20
2500158	Clara Lim	Digital Supply Chain	1.37
2500159	Hui Min	CS	72.89
2500160	Harith Zulkifli	Software Engineering	60.58
2500161	Nurul Aisyah	CS	14.18
2500162	Xin Rui	CS	81.30
2500163	Geraldine Ng	Software Engineering	64.19
2500164	Syafiq Hassan	Software Engineering	26.60
2500165	Evelyn Soh	Software Engineering	70.71
2500166	Xin Rui	CS	32.35
2500167	Darren Tan	Digital Supply Chain	71.37
2500168	Nurul Aisyah	Computer Science	39.66
2500169	Clara Lim	Digital Supply Chain	27.42
2500170	Shaun Lee	Digital Supply Chain	60.83
2500171	Terence Goh	Digital Supply Chain	22.31
2500172	Clara Lim	Computer Science	16.00
2500173	Zi Hao	Digital Supply Chain	92.11
2500174	Sarah Lim	Digital Supply Chain	69.07
2500175	Yi Xuan	CS	10.51
2500176	Joshua Chen	Computer Science	91.75
2500177	Yi Xuan	CS	98.85
2500178	Alicia Tan	Software Engineering	86.31
2500179	Wei Ning	Software Engineering	82.02
2500180	Chee Seng	CS	96.48
2500181	Nicole Chua	Software Engineering	18.12
2500182	Isaac Teo	Computer Science	98.34
2500183	Zi Hao	Digital Supply Chain	40.91
2500184	Evelyn Soh	Software Engineering	43.18
2500185	Syafiq Hassan	CS	88.82
2500186	Terence Goh	Software Engineering	32.35
2500187	Benjamin Koh	Software Engineering	78.63
2500188	Darren Tan	Software Engineering	33.44
2500189	Benjamin Koh	Computer Science	42.79
2500190	Jia Wei	Computer Science	45.95
2500191	Shaun Lee	Software Engineering	58.17
2500192	Xin Rui	Digital Supply Chain	23.64
2500193	Clara Lim	Software Engineering	51.00
2500194	Yi Xuan	CS	6.62
2500195	Joshua Chen	Digital Supply Chain	84.02
2500196	Daniel Ong	Digital Supply Chain	31.65
2500197	Yi Xuan	CS	3.58
2500198	Clara Lim	CS	86.75
2500199	Clara Lim	Computer Science	19.34
2500200	Marcus Yeo	Computer Science	78.74
2500201	Terence Goh	Digital Supply Chain	26.40
2500202	Marcus Yeo	Computer Science	30.48
2500203	Wei Ning	Digital Supply Chain	12.01
2500204	Xin Rui	Software Engineering	3.96
2500205	Zi Hao	CS	68.50
2500206	Xiao Ling	CS	98.83
2500207	Felix Tan	Computer Science	85.65
2500208	Xin Rui	CS	75.39
2500209	Marcus Yeo	Computer Science	67.44
2500210	Jia Wei	CS	47.13
2500211	Nurul Aisyah	Digital Supply Chain	36.21
2500212	Alicia Tan	Computer Science	79.55
2500213	Xiao Ling	Software Engineering	9.83
2500214	Yi Xuan	Computer Science	62.81
2500215	Felix Tan	Computer Science	76.54
2500216	Xiao Ling	Software Engineering	15.47
2500217	Marcus Yeo	Computer Science	93.58
2500218	Amirah Binte Rahman	Digital Supply Chain	54.24
2500219	Nurul Aisyah	Computer Science	25.26
2500220	Marcus Yeo	Computer Science	27.33
2500221	Megan Toh	Computer Science	81.41
2500222	Syafiq Hassan	Digital Supply Chain	8.15
2500223	Evelyn Soh	Digital Supply Chain	77.86
2500224	Chee Seng	Digital Supply Chain	15.94
