Database Name: Student Records
Authors: P1-08

Table Name: StudentRecords-1000
ID	Name	Programme	Mark
2500000	Xiao Ling	Computer Science	18.35
2500001	Rachel Goh	Software Engineering	78.41
2500002	Clara Lim	Digital Supply Chain	33.73
2500003	Zi Hao	Computer Science	10.16
2500004	Yi Xuan	CS	39.59
2500005	Shaun Lee	Computer Science	13.96
2500006	Amirah Binte Rahman	CS	67.43
2500007	Sarah Lim	CS	15.69
2500008	Hui Min	Computer Science	85.71
2500009	Evelyn Soh	CS	12.12
2500010	Wei Ning	Computer Science	64.58
2500011	Felix Tan	Software Engineering	77.78
2500012	Terence Goh	CS	92.32
2500013	Benjamin Koh	Computer Science	82.40
2500014	Clara Lim	Digital Supply Chain	7.79
2500015	Geraldine Ng	Computer Science	89.75
2500016	Hui Min	Digital Supply Chain	66.46
2500017	Zhi Yuan	Computer Science	48.96
2500018	Nicole Chua	Digital Supply Chain	18.27
2500019	Shaun Lee	CS	58.29
2500020	Harith Zulkifli	Software Engineering	89.21
2500021	Shaun Lee	Computer Science	70.36
2500022	Yi Xuan	Digital Supply Chain	11.47
2500023	Jia Wei	Digital Supply Chain	45.90
2500024	Yi Xuan	Software Engineering	91.74
2500025	Xin Rui	Computer Science	87.50
2500026	Geraldine Ng	CS	86.33
2500027	Marcus Yeo	Software Engineering	42.85
2500028	Geraldine Ng	CS	51.17
2500029	Zi Hao	CS	73.56
2500030	Sarah Lim	Computer Science	23.78
2500031	Amirah Binte Rahman	Computer Science	35.33
2500032	Xin Rui	CS	5.88
2500033	Marcus Yeo	Software Engineering	56.10
2500034	Isaac Teo	CS	90.39
2500035	Clara Lim	CS	68.59
2500036	Joshua Chen	Computer Science	31.81
2500037	Terence Goh	Software Engineering	58.67
2500038	Megan Toh	Digital Supply Chain	93.79
2500039	Evelyn Soh	Digital Supply Chain	12.86
2500040	Marcus Yeo	CS	19.89
2500041	Megan Toh	Computer Science	34.11
2500042	Rachel Goh	CS	2.05
2500043	Evelyn Soh	Software Engineering	54.82
2500044	Darren Tan	Digital Supply Chain	12.32
2500045	Megan Toh	CS	31.13
2500046	Daniel Ong	Computer Science	21.35
2500047	Alicia Tan	Computer Science	95.97
2500048	Isaac Teo	Digital Supply Chain	52.11
2500049	Terence Goh	Computer Science	34.78
2500050	Nurul Aisyah	Digital Supply Chain	69.54
2500051	Rachel Goh	Digital Supply Chain	66.39
2500052	Nicole Chua	Computer Science	88.37
2500053	Darren Tan	Computer Science	97.64
2500054	Geraldine Ng	CS	1.23
2500055	Jia Wei	Computer Science	26.62
2500056	Isaac Teo	Digital Supply Chain	34.43
2500057	Isaac Teo	CS	65.64
2500058	Joshua Chen	CS	24.16
2500059	Daniel Ong	Software Engineering	34.09
2500060	Megan Toh	CS	51.81
2500061	Sarah Lim	CS	52.40
2500062	Isaac Teo	Digital Supply Chain	84.61
2500063	Joshua Chen	Software Engineering	8.81
2500064	Wei Ning	Digital Supply Chain	10.50
2500065	Nurul Aisyah	Computer Science	28.19
2500066	Xiao Ling	Computer Science	97.95
2500067	Benjamin Koh	Computer Science	9.24
2500068	Nicole Chua	Computer Science	92.01
2500069	Terence Goh	Digital Supply Chain	22.13
2500070	Wei Ning	Software Engineering	43.77
2500071	Xin Rui	CS	98.98
2500072	Chee Seng	Digital Supply Chain	25.14
2500073	Jia Wei	Digital Supply Chain	55.31
2500074	Jia Wei	Digital Supply Chain	15.08
2500075	Jia Wei	Software Engineering	40.65
2500076	Megan Toh	CS	13.95
2500077	Amirah Binte Rahman	Computer Science	77.51
2500078	Alicia Tan	Software Engineering	64.09
2500079	Nicole Chua	CS	1.04
2500080	Jia Wei	Software Engineering	86.04
2500081	Syafiq Hassan	Software Engineering	34.45
2500082	Wei Ning	Computer Science	61.75
2500083	Daniel Ong	CS	18.24
2500084	Xin Rui	Software Engineering	0.12
2500085	Yi Xuan	Computer Science	1.22
2500086	Daniel Ong	CS	63.06
2500087	Alicia Tan	Software Engineering	56.28
2500088	Chee Seng	Computer Science	43.08
2500089	Evelyn Soh	CS	98.24
2500090	Chee Seng	Software Engineering	68.31
2500091	Daniel Ong	CS	70.89
2500092	Megan Toh	Computer Science	68.82
2500093	Sarah Lim	CS	24.16
2500094	Zi Hao	Digital Supply Chain	6.79
2500095	Daniel Ong	CS	70.10
2500096	Zi Hao	Software Engineering	9.70
2500097	Sarah Lim	CS	16.20
2500098	Xin Rui	CS	4.37
2500099	Xiao Ling	Software Engineering	18.30
2500100	Zi Hao	CS	20.42
2500101	Yi Xuan	Software Engineering	22.25
2500102	Joshua Chen	Software Engineering	63.62
2500103	Amirah Binte Rahman	Software Engineering	42.19
2500104	Benjamin Koh	Software Engineering	14.02
2500105	Harith Zulkifli	Computer Science	33.91
2500106	Yi Xuan	Software Engineering	9.62
2500107	Geraldine Ng	Software Engineering	1.92
2500108	Clara Lim	Software Engineering	43.33
2500109	Hui Min	Digital Supply Chain	89.28
2500110	Geraldine Ng	Computer Science	80.22
2500111	Darren Tan	Computer Science	68.92
2500112	Terence Goh	Computer Science	13.20
2500113	Hui Min	CS	35.59
2500114	Terence Goh	Software Engineering	49.33
2500115	Marcus Yeo	Digital Supply Chain	1.18
2500116	Clara Lim	CS	23.39
2500117	Nurul Aisyah	Software Engineering	36.06
2500118	Hui Min	Computer Science	87.00
2500119	Xiao Ling	CS	18.95
2500120	Chee Seng	CS	51.92
2500121	Evelyn Soh	Digital Supply Chain	34.44
2500122	Alicia Tan	Software Engineering	58.20
2500123	Terence Goh	CS	17.74
2500124	Zi Hao	Digital Supply Chain	99.15
2500125	Sarah Lim	Software Engineering	33.83
2500126	Terence Goh	Software Engineering	19.43
2500127	Evelyn Soh	CS	98.34
2500128	Xiao Ling	CS	78.56
2500129	Geraldine Ng	Digital Supply Chain	77.61
2500130	Jia Wei	Computer Science	72.59
2500131	Felix Tan	Digital Supply Chain	71.24
2500132	Nicole Chua	CS	96.77
2500133	Yi Xuan	Digital Supply Chain	81.14
2500134	Sarah Lim	Computer Science	66.28
2500135	Chee Seng	Software Engineering	62.19
2500136	Syafiq Hassan	Digital Supply Chain	49.67
2500137	Nurul Aisyah	CS	28.70
2500138	Yi Xuan	Software Engineering	18.96
2500139	Yi Xuan	Computer Science	67.81
2500140	Joshua Chen	Computer Science	27.39
2500141	Hui Min	CS	13.44
2500142	Amirah Binte Rahman	Computer Science	68.01
2500143	Isaac Teo	Digital Supply Chain	42.80
2500144	Sarah Lim	Software Engineering	88.25
2500145	Zhi Yuan	CS	85.50
2500146	Marcus Yeo	Software Engineering	6.18
2500147	Geraldine Ng	CS	87.44
2500148	Jia Wei	CS	69.97
2500149	Harith Zulkifli	CS	24.95
2500150	Nurul Aisyah	Digital Supply Chain	9.24
2500151	Amirah Binte Rahman	Software Engineering	79.02
2500152	Xin Rui	Software Engineering	39.88
2500153	Wei Ning	Computer Science	77.16
2500154	Nicole Chua	CS	47.92
2500155	Wei Ning	CS	8.05
2500156	Nurul Aisyah	Computer Science	66.37
2500157	Joshua Chen	Software Engineering	19.25
2500158	Clara Lim	Digital Supply Chain	11.30
2500159	Joshua Chen	Digital Supply Chain	6.08
2500160	Rachel Goh	Digital Supply Chain	3.49
2500161	Chee Seng	CS	37.81
2500162	Clara Lim	Computer Science	20.01
2500163	Chee Seng	CS	25.49
2500164	Geraldine Ng	Software Engineering	57.45
2500165	Hui Min	Digital Supply Chain	11.19
2500166	Alicia Tan	Digital Supply Chain	88.65
2500167	Zi Hao	CS	16.17
2500168	Rachel Goh	Software Engineering	93.92
2500169	Joshua Chen	Computer Science	40.53
2500170	Zhi Yuan	Software Engineering	76.28
2500171	Syafiq Hassan	Software Engineering	54.71
2500172	Megan Toh	Digital Supply Chain	22.14
2500173	Darren Tan	Software Engineering	92.08
2500174	Jia Wei	Software Engineering	94.71
2500175	Yi Xuan	Computer Science	14.99
2500176	Terence Goh	CS	7.29
2500177	Hui Min	Computer Science	29.21
2500178	Evelyn Soh	Digital Supply Chain	96.69
2500179	Benjamin Koh	Digital Supply Chain	61.86
2500180	Hui Min	Digital Supply Chain	13.96
2500181	Rachel Goh	Computer Science	34.25
2500182	Geraldine Ng	CS	69.50
2500183	Joshua Chen	Digital Supply Chain	37.66
2500184	Joshua Chen	Computer Science	32.98
2500185	Sarah Lim	Digital Supply Chain	25.87
2500186	Joshua Chen	Computer Science	16.60
2500187	Wei Ning	Software Engineering	41.37
2500188	Joshua Chen	CS	11.60
2500189	Megan Toh	CS	84.48
2500190	Darren Tan	Software Engineering	14.01
2500191	Amirah Binte Rahman	Digital Supply Chain	76.55
2500192	Wei Ning	Computer Science	30.34
2500193	Sarah Lim	Software Engineering	21.87
2500194	Xiao Ling	Digital Supply Chain	44.59
2500195	Shaun Lee	Computer Science	55.84
2500196	Nurul Aisyah	Software Engineering	38.37
2500197	Harith Zulkifli	Computer Science	2.02
2500198	Zhi Yuan	Digital Supply Chain	60.43
2500199	Wei Ning	CS	70.15
2500200	Nurul Aisyah	Digital Supply Chain	75.14
2500201	Chee Seng	Computer Science	33.00
2500202	Zi Hao	CS	59.78
2500203	Geraldine Ng	Software Engineering	58.71
2500204	Nurul Aisyah	Computer Science	48.77
2500205	Terence Goh	Digital Supply Chain	42.53
2500206	Jia Wei	CS	24.58
2500207	Marcus Yeo	CS	69.33
2500208	Darren Tan	Digital Supply Chain	36.76
2500209	Zhi Yuan	Digital Supply Chain	6.29
2500210	Isaac Teo	Computer Science	23.98
2500211	Isaac Teo	CS	53.20
2500212	Harith Zulkifli	Digital Supply Chain	59.04
2500213	Geraldine Ng	CS	21.71
2500214	Marcus Yeo	CS	84.67
2500215	Zi Hao	CS	10.62
2500216	Evelyn Soh	Digital Supply Chain	34.90
2500217	Isaac Teo	Digital Supply Chain	46.49
2500218	Darren Tan	Computer Science	35.14
2500219	Geraldine Ng	Computer Science	79.81
2500220	Wei Ning	CS	46.56
2500221	Sarah Lim	Computer Science	92.33
2500222	Zi Hao	Digital Supply Chain	22.08
2500223	Geraldine Ng	Software Engineering	80.09
2500224	Zi Hao	Software Engineering	89.77
2500225	Rachel Goh	Computer Science	12.74
2500226	Alicia Tan	Software Engineering	50.38
2500227	Daniel Ong	CS	65.44
2500228	Geraldine Ng	CS	64.77
2500229	Xin Rui	Digital Supply Chain	32.71
2500230	Daniel Ong	CS	91.31
2500231	Hui Min	Computer Science	57.02
2500232	Isaac Teo	Computer Science	64.34
2500233	Terence Goh	Digital Supply Chain	95.47
2500234	Darren Tan	Digital Supply Chain	81.40
2500235	Benjamin Koh	Computer Science	5.86
2500236	Terence Goh	Digital Supply Chain	23.51
2500237	Zhi Yuan	Digital Supply Chain	78.36
2500238	Sarah Lim	Software Engineering	12.81
2500239	Terence Goh	CS	58.78
2500240	Wei Ning	Computer Science	65.27
2500241	Darren Tan	Digital Supply Chain	54.42
2500242	Zhi Yuan	CS	58.35
2500243	Daniel Ong	Computer Science	45.08
2500244	Amirah Binte Rahman	CS	34.81
2500245	Syafiq Hassan	Software Engineering	61.36
2500246	Xiao Ling	Computer Science	0.90
2500247	Jia Wei	Software Engineering	55.95
2500248	Terence Goh	CS	70.60
2500249	Nicole Chua	Digital Supply Chain	86.12
2500250	Harith Zulkifli	Computer Science	47.71
2500251	Benjamin Koh	Software Engineering	51.97
2500252	Syafiq Hassan	Computer Science	91.37
2500253	Nurul Aisyah	Digital Supply Chain	66.31
2500254	Felix Tan	CS	56.40
2500255	Daniel Ong	Computer Science	72.81
2500256	Nurul Aisyah	Digital Supply Chain	30.10
2500257	Amirah Binte Rahman	Digital Supply Chain	72.83
2500258	Nicole Chua	Computer Science	92.31
2500259	Zi Hao	Computer Science	1.79
2500260	Shaun Lee	CS	85.34
2500261	Evelyn Soh	Digital Supply Chain	48.00
2500262	Terence Goh	CS	66.92
2500263	Nurul Aisyah	CS	22.46
2500264	Nurul Aisyah	Digital Supply Chain	36.68
2500265	Alicia Tan	Software Engineering	57.97
2500266	Jia Wei	Computer Science	74.76
2500267	Alicia Tan	CS	16.21
2500268	Nicole Chua	Software Engineering	93.32
2500269	Sarah Lim	Software Engineering	34.32
2500270	Isaac Teo	Software Engineering	56.33
2500271	Geraldine Ng	CS	22.58
2500272	Geraldine Ng	Computer Science	75.10
2500273	Zi Hao	Digital Supply Chain	32.70
2500274	Daniel Ong	Software Engineering	94.61
2500275	Marcus Yeo	CS	31.42
2500276	Hui Min	Software Engineering	0.60
2500277	Felix Tan	Software Engineering	16.94
2500278	Marcus Yeo	CS	21.43
2500279	Jia Wei	CS	17.30
2500280	Zi Hao	Digital Supply Chain	29.29
2500281	Megan Toh	Software Engineering	53.61
2500282	Nicole Chua	Digital Supply Chain	36.62
2500283	Marcus Yeo	Software Engineering	50.10
2500284	Jia Wei	Digital Supply Chain	13.58
2500285	Joshua Chen	CS	59.84
2500286	Nicole Chua	Computer Science	10.00
2500287	Daniel Ong	CS	58.76
2500288	Daniel Ong	Computer Science	43.12
2500289	Benjamin Koh	Digital Supply Chain	57.36
2500290	Isaac Teo	Digital Supply Chain	77.68
2500291	Evelyn Soh	CS	52.54
2500292	Geraldine Ng	Digital Supply Chain	95.68
2500293	Terence Goh	Digital Supply Chain	30.04
2500294	Joshua Chen	CS	35.14
2500295	Benjamin Koh	CS	89.11
2500296	Zhi Yuan	Software Engineering	28.72
2500297	Jia Wei	Computer Science	91.25
2500298	Joshua Chen	Digital Supply Chain	49.60
2500299	Isaac Teo	Software Engineering	0.04
2500300	Alicia Tan	CS	51.54
2500301	Jia Wei	Computer Science	69.81
2500302	Daniel Ong	Software Engineering	44.01
2500303	Syafiq Hassan	Digital Supply Chain	5.98
2500304	Hui Min	Computer Science	60.47
2500305	Zhi Yuan	Software Engineering	2.22
2500306	Zi Hao	Computer Science	53.87
2500307	Rachel Goh	Digital Supply Chain	17.39
2500308	Wei Ning	Software Engineering	9.70
2500309	Hui Min	Digital Supply Chain	94.30
2500310	Syafiq Hassan	CS	76.65
2500311	Yi Xuan	Software Engineering	44.05
2500312	Harith Zulkifli	Digital Supply Chain	24.83
2500313	Joshua Chen	Digital Supply Chain	44.80
2500314	Yi Xuan	Digital Supply Chain	34.48
2500315	Syafiq Hassan	Computer Science	41.29
2500316	Darren Tan	CS	14.36
2500317	Wei Ning	Digital Supply Chain	36.66
2500318	Harith Zulkifli	Computer Science	84.13
2500319	Xin Rui	Digital Supply Chain	41.19
2500320	Megan Toh	Digital Supply Chain	99.49
2500321	Geraldine Ng	CS	64.10
2500322	Isaac Teo	Software Engineering	32.34
2500323	Rachel Goh	Software Engineering	91.54
2500324	Nicole Chua	Computer Science	80.85
2500325	Chee Seng	Software Engineering	22.51
2500326	Felix Tan	CS	91.62
2500327	Megan Toh	CS	55.47
2500328	Amirah Binte Rahman	Digital Supply Chain	21.65
2500329	Joshua Chen	CS	63.49
2500330	Zi Hao	Computer Science	95.32
2500331	Zhi Yuan	CS	74.83
2500332	Sarah Lim	Digital Supply Chain	29.84
2500333	Geraldine Ng	CS	55.27
2500334	Megan Toh	CS	90.58
2500335	Syafiq Hassan	Computer Science	97.54
2500336	Yi Xuan	Software Engineering	82.50
2500337	Marcus Yeo	Computer Science	3.14
2500338	Daniel Ong	Software Engineering	32.81
2500339	Darren Tan	CS	16.16
2500340	Daniel Ong	Digital Supply Chain	14.53
2500341	Hui Min	Digital Supply Chain	75.49
2500342	Yi Xuan	Digital Supply Chain	90.74
2500343	Alicia Tan	CS	4.41
2500344	Isaac Teo	Digital Supply Chain	58.63
2500345	Nurul Aisyah	CS	73.71
